Time,Open,High,Low,Close,Volume
07.01.2018 17:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 18:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 19:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 20:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 21:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 22:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 23:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
08.01.2018 00:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
08.01.2018 01:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
08.01.2018 02:30:00.000 GMT+0330,1320.422,1321.372,1319.161,1319.531,1482319.951
08.01.2018 03:30:00.000 GMT+0330,1319.512,1320.901,1319.269,1320.591,1895200.014
08.01.2018 04:30:00.000 GMT+0330,1320.611,1322.101,1320.001,1320.822,3064640.045
08.01.2018 05:30:00.000 GMT+0330,1320.822,1321.758,1319.648,1320.231,2929909.945
08.01.2018 06:30:00.000 GMT+0330,1320.232,1320.941,1319.898,1320.302,2086210.012
08.01.2018 07:30:00.000 GMT+0330,1320.328,1320.542,1319.541,1320.192,1828950.048
08.01.2018 08:30:00.000 GMT+0330,1320.172,1320.352,1317.362,1317.981,3440649.986
08.01.2018 09:30:00.000 GMT+0330,1317.988,1318.952,1317.458,1318.828,3073339.939
08.01.2018 10:30:00.000 GMT+0330,1318.821,1318.852,1315.731,1315.901,5257110.119
08.01.2018 11:30:00.000 GMT+0330,1315.861,1316.761,1314.781,1316.381,4653069.973
08.01.2018 12:30:00.000 GMT+0330,1316.372,1317.411,1316.208,1317.082,3544869.9
08.01.2018 13:30:00.000 GMT+0330,1317.081,1320.971,1316.971,1320.061,4328599.93
08.01.2018 14:30:00.000 GMT+0330,1320.062,1321.062,1319.591,1320.392,3875999.928
08.01.2018 15:30:00.000 GMT+0330,1320.391,1320.541,1318.438,1318.488,5171879.768
08.01.2018 16:30:00.000 GMT+0330,1318.388,1320.842,1317.128,1319.952,6518280.029
08.01.2018 17:30:00.000 GMT+0330,1319.931,1320.841,1318.218,1318.989,6727180.004
08.01.2018 18:30:00.000 GMT+0330,1318.989,1320.539,1317.808,1319.712,7227109.909
08.01.2018 19:30:00.000 GMT+0330,1319.711,1319.711,1315.881,1316.692,7311214.924
08.01.2018 20:30:00.000 GMT+0330,1316.689,1318.152,1316.151,1318.121,4839769.84
08.01.2018 21:30:00.000 GMT+0330,1318.131,1319.652,1317.741,1318.902,3716759.92
08.01.2018 22:30:00.000 GMT+0330,1318.901,1319.211,1318.158,1319.049,3431809.902
08.01.2018 23:30:00.000 GMT+0330,1319.049,1320.122,1318.802,1320.021,2461539.984
09.01.2018 00:30:00.000 GMT+0330,1320.022,1320.648,1320.018,1320.231,1351359.963
09.01.2018 01:30:00.000 GMT+0330,1320.231,1320.231,1320.231,1320.231,0
09.01.2018 02:30:00.000 GMT+0330,1320.281,1320.302,1317.972,1317.981,2849649.906
09.01.2018 03:30:00.000 GMT+0330,1318.001,1318.592,1317.628,1317.921,4363450.05
09.01.2018 04:30:00.000 GMT+0330,1317.921,1318.452,1315.682,1317.862,6037680.149
09.01.2018 05:30:00.000 GMT+0330,1317.862,1319.392,1317.861,1319.331,3987900.019
09.01.2018 06:30:00.000 GMT+0330,1319.341,1319.452,1318.201,1318.999,3169909.954
09.01.2018 07:30:00.000 GMT+0330,1319.001,1319.299,1318.358,1318.762,2933039.904
09.01.2018 08:30:00.000 GMT+0330,1318.761,1320.142,1318.761,1319.311,3154089.928
09.01.2018 09:30:00.000 GMT+0330,1319.321,1319.562,1317.801,1317.991,3762130.022
09.01.2018 10:30:00.000 GMT+0330,1317.991,1318.642,1316.771,1317.361,6755760.193
09.01.2018 11:30:00.000 GMT+0330,1317.361,1317.622,1313.241,1314.461,8191089.63
09.01.2018 12:30:00.000 GMT+0330,1314.478,1315.568,1313.861,1315.398,5359779.835
09.01.2018 13:30:00.000 GMT+0330,1315.419,1315.419,1313.838,1314.861,4850049.973
09.01.2018 14:30:00.000 GMT+0330,1314.831,1315.598,1313.961,1314.952,4511720.181
09.01.2018 15:30:00.000 GMT+0330,1314.941,1315.922,1314.219,1314.471,5630080.223
09.01.2018 16:30:00.000 GMT+0330,1314.452,1315.252,1310.522,1312.538,7010529.995
09.01.2018 17:30:00.000 GMT+0330,1312.538,1313.192,1308.822,1309.828,6766769.886
